date,city,country,venue,details
10-26-2012,Leeds,England,Brudenell Social Club,with RM Hubbert - video: don't move - prossy
10-25-2012,Cambridge,England,Portland Arms,video: don't move - hit single - prossy - sheepdug
10-24-2012,Bristol,England,The Louisiana,with RM Hubbert and Casimir
10-23-2012,London,England,Dingwalls,with RM Hubbert
10-22-2012,Birmingham,England,Hare and Hounds,with RM Hubbert and Victor
10-20-2012,Manchester,England,Sound Control,
10-19-2012,Wakefield,England,The Hop,with St Gregory Orange - review + photo
10-18-2012,Newcastle,England,The Cluny,with RM Hubbert and The Prison Library - photos
10-05-2012,Edinburgh,Scotland,The Electric Circus,
08-19-2012,Leicester,England,De Montfort Hall,Summer Sundae Weekender - video: alphabet - photos
08-11-2012,Piešťany,Slovakia,Letsiko,Grape Festival 2012 - video: nil - at the burnside
08-05-2012,Katowice,Poland,Dolina Trzech Stawów,Off Festival 2012 - video: don't move - kill it - alphabet - rabbit
07-21-2012,Eigg Island,Scotland,Community Hall,AwayGame 2012
06-02-2012,Wakefield,England,Theatre Royal,Long Division Festival 2012 - various video clips - photos
05-31-2012,Glasgow,Scotland,Òran Mór,
05-12-2012,Norwich,England,Waterfront Studio,
05-11-2012,Brighton,England,Coalition,Great Escape 2012 - video: sheepdug - interview - photos
05-10-2012,Liverpool,England,The Kazimier,with Three Blind Wolves and Death at Sea - photo + hilarious review - review #2 + better photo
04-28-2012,Arlon,Belgium,Caserne Des Pompiers,Aralunaires 2012 - photos
04-27-2012,Brussels,Belgium,Witloof Bar,
04-26-2012,Trier,Germany,Exhaus,with Appalache - video: don't look at me - downstairs
04-25-2012,Zurich,Switzerland,Hafenkneipe,
04-24-2012,Padova,Italy,Circolo Zero,with Last Century of Love - photos
04-23-2012,Turin,Italy,Spazio 211,with City Final
04-22-2012,Rome,Italy,Loft privato,
04-21-2012,Florence,Italy,Auditorium,with Bologna Violenta - photos
04-20-2012,Graz,Austria,PPC,video: don't move - hit single - prossy - alphabet - nil - sheepdug
04-19-2012,Vienna,Austria,Chelsea,video (23+ mins of show): the twilight sad at Chelsea - photos
04-18-2012,Prague,Czech Republic,007,video: hit single - sheepdug - photos
04-16-2012,Stuttgart,Germany,Shocken,review + photos
04-15-2012,Berlin,Germany,Magnet Club,with Those Darlins
04-14-2012,Cologne,Germany,Gebäude 9,photos
04-13-2012,Duisburg,Germany,Cafe Steinbruch,video: rabbit (bad audio)
04-12-2012,Utrecht,Netherlands,Ekko,video: hit single - alphabet - sheepdug - at the burnside - review + photos
04-11-2012,Rotterdam,Netherlands,Rotown,
03-30-2012,Glasgow,Scotland,The Flying Duck,
03-17-2012,"Austin, TX",USA,Red 7 Patio,SXSW - Showcase
03-17-2012,"Austin, TX",USA,Club DeVille,SXSW - AV Club Party - video: sheepdug - photos
03-16-2012,"Austin, TX",USA,Latitude 30,"SXSW - Discovering Scotland Showcase - video: rabbit - rabbit (same performance, alternate video) - photos"
03-16-2012,"Austin, TX",USA,Hotel Vegas,SXSW - Brooklyn Vegan Party - video: nil (bad audio)
03-15-2012,"Austin, TX",USA,Beauty Bar,SXSW - Sweetwood Day Party - video: don't move
03-15-2012,"Austin, TX",USA,St. Cecilia Hotel,SXSW - OnAirStreaming.com Session
03-14-2012,"Austin, TX",USA,Hype Hotel,"SXSW - Song, by Toad Party - photo"
03-11-2012,"Portland, OR",USA,Doug Fir Lounge,with Micah P. Hinson
03-10-2012,"Seattle, WA",USA,Tractor Tavern,with Micah P. Hinson and Isis and the Ghost - video: prossy
03-10-2012,"Seattle, WA",USA,Triple Door,KEXP Session - audio - photos
03-08-2012,"San Francisco, CA",USA,The Independent,video: sheepdug - rabbit - review + photos
03-07-2012,"San Jose, CA",USA,The Blank Club,with Micah P. Hinson
03-06-2012,"Los Angeles, CA",USA,The Echo,with Micah P. Hinson and Pageants - review + photos
03-05-2012,"San Diego, CA",USA,The Casbah,with Micah P. Hinson - video: rabbit
03-03-2012,"Minneapolis, MN",USA,7th Street Entry,"with Micah P. Hinson and Danger, Will Robinson - review + photos"
03-02-2012,"Chicago, IL",USA,Empty Bottle,with Micah P. Hinson and Young Prisms - video: hit single + another bed
03-01-2012,"Grand Rapids, MI",USA,The Pyramid Scheme,with Micah P. Hinson and Ghost Heart
02-29-2012,"Toronto, ON",Canada,Lee's Place,with Odonis Odonis - review + photos - additional review + photo
02-28-2012,"Montreal, QC",Canada,Il Motore,with Forest Fire
02-26-2012,"Boston, MA",USA,Brighton Music Hall,"with Micah P. Hinston and Forest Fire - video: prossy - sheepdug + nil - photos (live + backstage)
 review + photos"
02-25-2012,"Brooklyn, NY",USA,Music Hall of Williamsburg,with Micah P. Hinson and Forest Fire - review + photos
02-23-2012,Edinburgh,Scotland,HMV Picturehouse,Stripped down set
02-16-2012,Leeds,England,Brudenell Social Club,video: hit single - photo
02-15-2012,Nottingham,England,Stealth,with Childhood - review + photos + setlist
02-14-2012,London,England,Cargo,video: alphabet - review + setlist
02-13-2012,Bristol,England,Fleece,with Let's Wrestle and Evacuees - review + photos
02-12-2012,Birmingham,England,Hare and Hounds,with Let's Wrestle and Decades
02-11-2012,Sheffield,England,Queens Social Club,with Let's Wrestle and Young British Artists - video: cold days - photos
02-10-2012,Manchester,England,The Ruby Lounge,video: downstairs - another bed - sheepdug - rabbit - photos
02-09-2012,Glasgow,Scotland,Grand Ole Opry,with Let's Wrestle - video (audio not great on these): kill it - dead city - downstairs - nil - poster - photos
02-08-2012,Edinburgh,Scotland,Avalanche Records,In-store acoustic session - video: alphabet - hit single - sick - rabbit - another bed - sheepdug
02-04-2012,Dunfermline,Scotland,Jam Jar,with People Places Maps and Astrid & Quinn - photos - poster
01-18-2012,Glasgow,Scotland,Diving Bell Lounge,Stripped back set with Mark on piano - video: alphabet - another bed - not sleeping
11-25-2011,Stirling,Scotland,The Tolbooth,with Adam Stafford and Blank Canvas - video: sheepdug
11-24-2011,Kingston upon Hull,England,The New Adelphi,with The Holy Orders - video: faster
11-23-2011,Leicester,England,Firebug,with Dark Dark Horse and Tom Morris - photos
11-22-2011,Oxford,England,Jericho Tavern,with Toliesel - photos
11-21-2011,London,England,Greek Street,"One song only, BeatCast Offbeat Session - video: sick"
11-21-2011,London,England,The Borderline,with Peace - video: alphabet - at the burnside - review + setlist
11-20-2011,York,England,The Duchess,with Panda Cubs and Fawn Spots
11-19-2011,Preston,England,The Mad Ferret,with Goonies Never Say Die - video: prossy
11-18-2011,Glasgow,Scotland,Nice n' Sleazy,with Adam Stafford
11-17-2011,Glasgow,Scotland,Nice n' Sleazy,with Arab Strap and RM Hubbert
11-16-2011,Edinburgh,Scotland,Bongo Club,with Adam Stafford - video: hit single - prossy - review + photos
11-15-2011,Inverness,Scotland,The Ironworks,
11-14-2011,Aberdeen,Scotland,The Tunnels,
11-13-2011,Dundee,Scotland,Doghouse,with Adam Stafford and Vladimir - video: kill it - photos
10-15-2011,Reykjavik,Iceland,Iðnó,Iceland Airwaves - photos
10-14-2011,Reykjavik,Iceland,KEX Hostel,Live on KEXP for Iceland Airwaves - video: prossy - photos - review + photos
09-21-2011,Brussels,Belgium,La Rotonde,
09-20-2011,Cologne,Germany,Gebäude 9,with We Were Promised Jetpacks and Mazes - video: rabbit
09-19-2011,Berlin,Germany,Lido,with We Were Promised Jetpacks and Mazes - photo + review
09-17-2011,Amsterdam,Netherlands,Paradiso,with We Were Promised Jetpacks and Mazes - Fat Cat Tour - video: sheepdug - photo
09-16-2011,Paris,France,La Flèche d'Or,with We Were Promised Jetpacks and Mazes - video: faster - kill it (incomplete) - alphabet - sheepdug
08-29-2011,Aberdeen,Scotland,The Tunnels,with Steven Milne
08-21-2011,Edinburgh,Scotland,The Electric Circus,with Adam Stafford and RM Hubbert - Acoustic session - video: wrong car - enjoy the silence - prossy - 80's inbetween days - rabbit - sheepdug - review + photo
07-15-2011,Preston,England,Mad Ferret,
07-14-2011,Cheltenham,England,Upcote Farm,2000 Trees Festival 2011
06-12-2011,Dores,Scotland,Clunes Farm,"RockNess 2011 - video: sheepdug (quality not great) - photos - more photos 
 still more photos - even more photos"
04-30-2011,Leeds,England,Leeds Metropolitan University,Leeds 2011 - photos
03-19-2011,"Austin, TX",USA,Annie's West,"SXSW 2011 - Popantipop presents Sea Now! - video: hit single - don't move 
 prossy - sheepdug - rabbit"
03-19-2011,"Austin, TX",USA,Homeslice Pizza,SXSW 2011 - video: sheepdug - photos
03-16-2011,"Austin, TX",USA,Maggie Mae's,"SXSW 2011 - Scotland Showcase - video (not great quality): hit single 
 sheepdug + rabbit - don't move - clip from SXSW 2011 documentary - photos"
02-27-2011,Gateshead,England,The Sage,with Mogwai and Konx-om-Pax
02-26-2011,Manchester,England,Manchester Academy,with Mogwai and Konx-om-Pax
02-25-2011,London,England,Barfly,with Hot Horizons
02-25-2011,London,England,O2 Academy Brixton,with Mogwai and Konx-om-Pax
